"","2002_025_NDVI","2002_033_NDVI","2002_041_NDVI","2002_049_NDVI","2002_057_NDVI","2002_065_NDVI","2002_073_NDVI","2002_081_NDVI","2002_089_NDVI","2002_097_NDVI","2002_105_NDVI","2002_113_NDVI","2002_121_NDVI","2002_129_NDVI","2002_137_NDVI","2002_145_NDVI","2002_153_NDVI","2002_161_NDVI","2002_169_NDVI","2002_177_NDVI","2002_185_NDVI","2002_193_NDVI","2002_201_NDVI","2002_209_NDVI","2002_217_NDVI","2002_225_NDVI","2002_233_NDVI","2002_241_NDVI","2002_249_NDVI","2002_257_NDVI","2002_265_NDVI","2002_273_NDVI","2002_281_NDVI","2002_289_NDVI","2002_297_NDVI","2002_305_NDVI","2002_313_NDVI","2002_321_NDVI","2002_329_NDVI","2002_337_NDVI","2002_345_NDVI","2002_353_NDVI","2002_361_NDVI","GEOID"
"1",267.542741270032,260.014204552692,258.423219690635,246.39754782679,NA,233.090822801233,NA,NA,284.937266354569,348.93906197524,378.340804595183,394.312294604981,432.235939529065,433.602594748164,466.32707145239,429.360511283047,435.210931870297,459.778454763065,372.699633080892,300.763089238901,259.577390845909,223.582496706751,228.293374649073,225.813762658426,220.627778475193,225.082271569559,239.236370666198,281.326223382966,299.741463115781,327.736233286149,319.758204847027,324.414345488126,318.040804090802,308.466435020077,303.015860085959,NA,303.18145049654,291.505705871582,293.086933200207,281.088143025216,262.134221633508,258.618361620836,252.688859558105,"31007"
"2",239.939450086948,235.328906480084,225.821941796419,229.224993189458,214.029251838045,209.935809640323,NA,214.699474879674,227.176254193233,273.298940647793,341.968893984298,370.346706098605,452.089184025196,488.653047937626,543.698357017367,572.861092303432,568.768141293357,558.403373976885,410.098431624935,306.681447260797,281.66352676133,238.962427304659,232.700700641352,227.957105687855,229.989959264206,222.184603308554,236.768920036359,253.53072294677,254.489421971255,310.168825699111,336.980625325004,357.434522043942,354.286836571086,336.506340694966,359.183241271973,328.577354288547,307.356834215437,305.29661849812,290.653640659376,265.457406592181,256.31413005436,258.824397008304,260.368367297501,"31045"
"3",148.344783782959,179.78490447998,189.432029724121,181.153366088867,NA,178.049362182617,NA,181.840484619141,213.062301635742,322.603210449219,357.505767822266,420.932052612305,506.487152099609,532.046478271484,561.116943359375,595.208282470703,648.116516113281,623.079071044922,603.705505371094,603.976806640625,406.777267456055,362.649307250977,346.216003417969,386.293533325195,366.235092163086,336.431823730469,419.933959960938,465.107543945312,534.503265380859,664.653045654297,600.711334228516,605.890380859375,482.042144775391,NA,NA,NA,NA,NA,NA,NA,NA,NA,230.496452331543,"31075"
"4",305.825942993164,317.960864257812,320.41940612793,327.997283935547,314.053350830078,265.756660461426,250.633453369141,345.063537597656,314.79753112793,368.887799072266,437.288317871094,454.965350341797,542.488677978516,591.839086914062,646.750109863281,566.614282226563,580.498114013672,512.085571289062,429.344915771484,342.636676025391,277.515615844727,275.477938842773,265.626940917969,231.855609893799,253.813900756836,243.344760131836,261.791802978516,242.716415405273,239.680181884766,269.614218139648,274.696536254883,300.51982421875,311.944284057617,316.339080810547,NA,276.437664794922,293.594778442383,310.971820068359,295.33703918457,285.973892211914,293.441594441732,234.026977539062,233.485354614258,"31113"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31185"
"6",208.716079711914,205.941040039062,210.582458496094,209.918045043945,NA,193.504211425781,NA,NA,193.982940673828,219.273742675781,240.328247070312,289.794006347656,381.711975097656,402.998840332031,451.335876464844,335.70703125,323.965240478516,312.031951904297,444.836273193359,492.943023681641,339.147766113281,333.527191162109,353.569061279297,265.131225585938,408.025970458984,618.648803710938,805.096130371094,834.634033203125,839.194213867188,823.979125976562,489.012115478516,459.059448242188,304.398834228516,NA,NA,253.657333374023,313.360717773438,249.529190063477,264.116577148438,246.859909057617,280.262237548828,247.863250732422,243.133728027344,"31005"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31071"
"8",343.789327965599,338.203468492296,328.844827251956,323.161827255875,NA,288.674483583032,302.471497768826,294.276622935238,336.723913625943,441.139523306293,514.910374304492,537.526906789602,610.861358826974,622.006339615691,649.57267752066,623.755225541349,548.455910962499,551.559151700871,395.501220428192,334.724088566032,265.113445944415,287.629423811629,296.698066345946,329.134472546277,377.785512273183,357.475019260795,356.704159564283,363.584529671127,352.692557466244,354.165111838701,324.622595278803,298.804497876214,279.266931938403,264.010555154664,273.581783064877,235.072156582659,243.814510193804,238.847913614909,233.835904338802,226.977446203203,225.342261150384,217.601060755113,218.590345481246,"31101"
"9",357.591196130823,NA,330.969371654369,374.268413967556,303.711740875244,310.618998718262,350.421115875244,344.596159714919,398.2620550085,515.371478045428,583.808489764178,594.982870596427,641.089388246889,656.581120605469,678.555564597801,732.119344075521,661.843779387297,583.163475884332,478.730885823568,403.82901792173,461.796026159216,423.364700882523,413.087145204897,415.244276823821,501.863504583185,424.748524983724,498.059633890788,491.291273328993,425.132293136032,433.179894906503,378.925346091942,374.943942034686,340.687480785229,362.456707424588,352.937875253183,338.224532515914,323.68030665471,332.614400227865,308.615085177951,283.702506736473,303.575050636574,298.004864728009,277.782320940936,"31151"
"10",392.205419921875,NA,378.260858154297,457.668756103516,378.206634521484,NA,NA,442.341506958008,499.833862304688,605.973065185547,662.537976074219,660.584130859375,725.447717285156,721.655938720703,810.024096679688,746.145288085938,695.793676757812,606.542028808594,585.620867919922,398.037292480469,423.210217285156,427.990496826172,384.030029296875,392.282598876953,449.055413818359,445.023077392578,406.428657531738,480.403112792969,423.706707763672,464.23020324707,409.228021240234,399.405722045898,412.466448974609,405.767666625977,406.816668701172,382.124594116211,346.019165039062,363.525128173828,347.646298217773,305.82268371582,303.235913085938,320.596566772461,302.205697631836,"31059"
